State,"Population 2015","Population 2016",Difference
Alabama,4853900,4863300,9400
Alaska,737700,741900,4200
Arizona,6817600,6931100,113500
Arkansas,2977900,2988200,10300
California,38993900,39250000,256100
Colorado,5448800,5540500,91700
Connecticut,3584700,3576500,-8200
Delaware,944100,952100,8000
"District of Columbia",670400,681200,10800
Florida,20244900,20612400,367500
Georgia,10199400,10310400,111000
Hawaii,1425200,1428600,3400
Idaho,1652800,1683100,30300
Illinois,12839000,12801500,-37500
Indiana,6612800,6633100,20300
Iowa,3122000,3134700,12700
Kansas,2906700,2907300,600
Kentucky,4424600,4437000,12400
Louisiana,4669000,4681700,12700
Maine,1329500,1331500,2000
Maryland,5995000,6016400,21400
Massachusetts,6784200,6811800,27600
Michigan,9917700,9928300,10600
Minnesota,5482400,5520000,37600
Mississippi,2989400,2988700,-700
Missouri,6076200,6093000,16800
Montana,1032100,1042500,10400
Nebraska,1893800,1907100,13300
Nevada,2883800,2940100,56300
"New Hampshire",1330100,1334800,4700
"New Jersey",8935400,8944500,9100
"New Mexico",2080300,2081000,700
"New York",19747200,19745300,-1900
"North Carolina",10035200,10146800,111600
"North Dakota",756800,758000,1200
Ohio,11605100,11614400,9300
Oklahoma,3907400,3923600,16200
Oregon,4024600,4093500,68900
Pennsylvania,12791900,12784200,-7700
"Rhode Island",1055600,1056400,800
"South Carolina",4894800,4961100,66300
"South Dakota",857900,865500,7600
Tennessee,6595100,6651200,56100
Texas,27429600,27862600,433000
Utah,2990600,3051200,60600
Vermont,626100,624600,-1500
Virginia,8367600,8411800,44200
Washington,7160300,7288000,127700
"West Virginia",1841100,1831100,-10000
Wisconsin,5767900,5778700,10800
Wyoming,586600,585500,-1100
